Locality Name,Post Code,Municipality Name
Avenel,3664,Strathbogie Shire Council
Avoca,3467,Pyrenees Shire Council
Avon Plains,3477,Northern Grampians Shire Council
Avondale Heights,3034,Moonee Valley City Council
Avonmore,3559,Greater Bendigo City Council
Avonsleigh,3782,Cardinia Shire Council
Axe Creek,3551,Greater Bendigo City Council
Axedale,3551,Greater Bendigo City Council
Ayrford,3268,Corangamite Shire Council
Ayrford,3268,Moyne Shire Council
Bacchus Marsh,3340,Moorabool Shire Council
Baddaginnie,3670,Benalla Rural City Council
Baddaginnie,3670,Strathbogie Shire Council
Badger Creek,3777,Yarra Ranges Shire Council
Bael Bael,3579,Gannawarra Shire Council
Bagshot,3551,Greater Bendigo City Council
Bagshot North,3551,Greater Bendigo City Council
Bahgallah,3312,Glenelg Shire Council
Bailieston,3608,Strathbogie Shire Council
Bairnsdale,3875,East Gippsland Shire Council
Bakery Hill,3350,Ballarat City Council
Balaclava,3183,Port Phillip City Council
Bald Hills,3364,Ballarat City Council
Bald Hills,3364,Hepburn Shire Council
Balintore,3249,Colac Otway Shire Council
Ballan,3342,Moorabool Shire Council
Ballangeich,3279,Moyne Shire Council
Ballapur,3483,Buloke Shire Council
Ballarat Central,3350,Ballarat City Council
Ballarat East,3350,Ballarat City Council
Ballarat North,3350,Ballarat City Council
Ballendella,3561,Campaspe Shire Council
Balliang,3340,Greater Geelong City Council
Balliang,3340,Moorabool Shire Council
Balliang East,3340,Moorabool Shire Council
Ballyrogan,3375,Ararat Rural City Council
Balmattum,3666,Strathbogie Shire Council
Balmoral,3407,Southern Grampians Shire Council
Balnarring,3926,Mornington Peninsula Shire Council
Balnarring Beach,3926,Mornington Peninsula Shire Council
Balook,3971,Wellington Shire Council
Balwyn,3103,Boroondara City Council
Balwyn North,3104,Boroondara City Council
Balwyn North,3104,Whitehorse City Council
Bamawm,3561,Campaspe Shire Council
Bamawm Extension,3564,Campaspe Shire Council
Bambra,3241,Surf Coast Shire Council
Bamganie,3333,Golden Plains Shire Council
Bandiana,3691,Wodonga City Council
Bangerang,3393,Yarriambiack Shire Council
Bangholme,3175,Greater Dandenong City Council
Banksia Peninsula,3875,East Gippsland Shire Council
Bannerton,3549,Swan Hill Rural City Council
Bannockburn,3331,Golden Plains Shire Council
Banyan,3485,Buloke Shire Council
Banyena,3388,Northern Grampians Shire Council
Baranduda,3691,Wodonga City Council
Barfold,3444,Mount Alexander Shire Council
Baringhup,3463,Mount Alexander Shire Council
Baringhup West,3463,Mount Alexander Shire Council
Barjarg,3723,Mansfield Shire Council
Barkers Creek,3451,Mount Alexander Shire Council
Barkly,3384,Northern Grampians Shire Council
Barkly,3384,Pyrenees Shire Council
Barkstead,3364,Moorabool Shire Council
Barmah,3639,Moira Shire Council
Barnadown,3557,Greater Bendigo City Council
Barnawartha,3688,Indigo Shire Council
Barnawartha North,3691,Wodonga City Council
Baromi,3871,South Gippsland Shire Council
Barongarook,3249,Colac Otway Shire Council
Barongarook West,3249,Colac Otway Shire Council
Barrabool,3221,Surf Coast Shire Council
Barrakee,3525,Buloke Shire Council
Barramunga,3249,Colac Otway Shire Council
Barraport,3537,Loddon Shire Council
Barraport West,3537,Loddon Shire Council
Barrys Reef,3458,Moorabool Shire Council
Barunah Park,3329,Golden Plains Shire Council
Barunah Plains,3329,Colac Otway Shire Council
Barwidgee,3737,Alpine Shire Council
Barwite,3722,Mansfield Shire Council
Barwon Downs,3243,Colac Otway Shire Council
Barwon Heads,3227,Greater Geelong City Council
Basalt,3460,Hepburn Shire Council
Bass,3991,Bass Coast Shire Council
Batesford,3213,Golden Plains Shire Council
Batesford,3213,Greater Geelong City Council
Bathumi,3730,Moira Shire Council
Baw Baw Village,3833,Unincorporated Land (victoria)
Baxter,3911,Mornington Peninsula Shire Council
Bayindeen,3375,Ararat Rural City Council
Bayles,3981,Cardinia Shire Council
Baynton,3444,Macedon Ranges Shire Council
Baynton East,3444,Macedon Ranges Shire Council
Bayswater,3153,Knox City Council
Bayswater North,3153,Maroondah City Council
Beaconsfield,3807,Cardinia Shire Council
Beaconsfield,3807,Casey City Council
Beaconsfield Upper,3808,Cardinia Shire Council
Bealiba,3475,Central Goldfields Shire Council
Bearii,3641,Moira Shire Council
Bears Lagoon,3517,Loddon Shire Council
Beauchamp,3579,Gannawarra Shire Council
Beauchamp,3579,Swan Hill Rural City Council
Beaufort,3373,Pyrenees Shire Council
Beaumaris,3193,Bayside City Council
Beazleys Bridge,3477,Northern Grampians Shire Council
Beeac,3251,Colac Otway Shire Council
Beech Forest,3237,Colac Otway Shire Council
Beechworth,3747,Indigo Shire Council
Beenak,3139,Yarra Ranges Shire Council
Belgrave,3160,Yarra Ranges Shire Council
Belgrave Heights,3160,Yarra Ranges Shire Council
Belgrave South,3160,Yarra Ranges Shire Council
Bell Park,3215,Greater Geelong City Council
Bell Post Hill,3215,Greater Geelong City Council
Bellarine,3223,Greater Geelong City Council
Bellbird Creek,3889,East Gippsland Shire Council
Bellbrae,3228,Surf Coast Shire Council
Bellbridge,3691,Towong Shire Council
Bellellen,3381,Northern Grampians Shire Council
Bellfield,3081,Banyule City Council
Bells Beach,3228,Surf Coast Shire Council
Belmont,3216,Greater Geelong City Council
Bemm River,3889,East Gippsland Shire Council
Bena,3946,South Gippsland Shire Council
Benalla,3672,Benalla Rural City Council
Benambra,3900,East Gippsland Shire Council
Benayeo,3319,West Wimmera Shire Council
Bend Of Islands,3097,Nillumbik Shire Council
Bendigo,3550,Greater Bendigo City Council
Bendoc,3888,East Gippsland Shire Council
Bengworden,3875,East Gippsland Shire Council
Benjeroop,3579,Gannawarra Shire Council
Benloch,3435,Macedon Ranges Shire Council
Bennison,3960,South Gippsland Shire Council
Bentleigh,3204,Glen Eira City Council
Bentleigh East,3165,Glen Eira City Council
Benwerrin,3235,Surf Coast Shire Council
Beremboke,3342,Moorabool Shire Council
Berrimal,3518,Loddon Shire Council
Berringa,3351,Golden Plains Shire Council
Berringama,3691,Towong Shire Council
Berriwillock,3531,Buloke Shire Council
Berrybank,3323,Corangamite Shire Council
Berrys Creek,3953,South Gippsland Shire Council
Berwick,3806,Casey City Council
Bessiebelle,3304,Moyne Shire Council
Bet Bet,3472,Central Goldfields Shire Council
Bete Bolong,3888,East Gippsland Shire Council
Bete Bolong North,3888,East Gippsland Shire Council
Bethanga,3691,Towong Shire Council
Betley,3472,Central Goldfields Shire Council
Beulah,3395,Yarriambiack Shire Council
Beverford,3590,Swan Hill Rural City Council
Beveridge,3753,Mitchell Shire Council
Beveridge,3753,Whittlesea City Council
Big Desert,3490,Mildura Rural City Council
Big Hill,3231,Surf Coast Shire Council
Big Hill,3555,Greater Bendigo City Council
Big Pats Creek,3799,Yarra Ranges Shire Council
Biggara,3707,Towong Shire Council
Bimbourie,3533,Buloke Shire Council
Bindi,3896,East Gippsland Shire Council
Binginwarri,3966,South Gippsland Shire Council
Binginwarri,3966,Wellington Shire Council
Bingo Munjie,3898,East Gippsland Shire Council
Birchip,3483,Buloke Shire Council
Birchip West,3483,Buloke Shire Council
Birdwoodton,3505,Mildura Rural City Council
Birregurra,3242,Colac Otway Shire Council
Birregurra,3242,Surf Coast Shire Council
Bittern,3918,Mornington Peninsula Shire Council
Black Hill,3350,Ballarat City Council
Black Range,3381,Ararat Rural City Council
Black Range,3381,Northern Grampians Shire Council
Black Rock,3193,Bayside City Council
Blackburn,3130,Whitehorse City Council
Blackburn North,3130,Whitehorse City Council
Blackburn South,3130,Whitehorse City Council
Blackheath,3401,Horsham Rural City Council
Blackwarry,3844,Wellington Shire Council
Blackwood,3458,Moorabool Shire Council
Blairgowrie,3942,Mornington Peninsula Shire Council
Blakeville,3342,Moorabool Shire Council
Blampied,3364,Hepburn Shire Council
Blind Bight,3980,Casey City Council
Blowhard,3352,Ballarat City Council
Bo Peep,3351,Ballarat City Council
Bo Peep,3351,Pyrenees Shire Council
Bobinawarrah,3678,Wangaratta Rural City Council
Bochara,3301,Southern Grampians Shire Council
Bogong,3699,Alpine Shire Council
Boho,3669,Strathbogie Shire Council
Boho South,3669,Strathbogie Shire Council
Boigbeat,3531,Buloke Shire Council
Boinka,3490,Mildura Rural City Council
Boisdale,3860,Wellington Shire Council
Bolangum,3387,Northern Grampians Shire Council
Bolinda,3432,Macedon Ranges Shire Council
Bolton,3546,Swan Hill Rural City Council
Bolwarra,3305,Glenelg Shire Council
Bolwarrah,3352,Moorabool Shire Council
Bona Vista,3820,Baw Baw Shire Council
Bonang,3888,East Gippsland Shire Council
Bonbeach,3196,Kingston City Council
Bonegilla,3691,Wodonga City Council
Boneo,3939,Mornington Peninsula Shire Council
Bonn,3561,Campaspe Shire Council
Bonnie Brook,3335,Melton City Council
Bonnie Doon,3720,Mansfield Shire Council
Bonshaw,3352,Ballarat City Council
Bookaar,3260,Corangamite Shire Council
Boolarong,3960,South Gippsland Shire Council
Boolarra,3870,Latrobe City Council
Boolarra South,3870,Latrobe City Council
Boole Poole,3880,East Gippsland Shire Council
Boolite,3392,Yarriambiack Shire Council
Boomahnoomoonah,3728,Moira Shire Council
Boonah,3235,Surf Coast Shire Council
Boorcan,3265,Corangamite Shire Council
Boorhaman,3678,Wangaratta Rural City Council
Boorhaman East,3678,Wangaratta Rural City Council
Boorhaman North,3685,Wangaratta Rural City Council
Boorolite,3723,Mansfield Shire Council
Boorool,3953,South Gippsland Shire Council
Boort,3537,Loddon Shire Council
Boosey,3730,Moira Shire Council
Boralma,3682,Wangaratta Rural City Council
Bornes Hill,3379,Ararat Rural City Council
Boronia,3155,Knox City Council
Borung,3518,Loddon Shire Council
Bostocks Creek,3260,Corangamite Shire Council
Botanic Ridge,3977,Casey City Council
Boundary Bend,3599,Swan Hill Rural City Council
Bowenvale,3465,Central Goldfields Shire Council
Boweya,3675,Benalla Rural City Council
Boweya,3675,Wangaratta Rural City Council
Boweya North,3675,Moira Shire Council
Bowmans Forest,3735,Wangaratta Rural City Council
Bowser,3678,Wangaratta Rural City Council
Box Hill,3128,Whitehorse City Council
Box Hill North,3129,Whitehorse City Council
Box Hill South,3128,Whitehorse City Council
Boxwood,3725,Benalla Rural City Council
Boxwood,3725,Greater Shepparton City Council
Bradford,3463,Mount Alexander Shire Council
Bradvale,3361,Corangamite Shire Council
Braeside,3195,Kingston City Council
Brandy Creek,3821,Baw Baw Shire Council
Branxholme,3302,Glenelg Shire Council
Branxholme,3302,Southern Grampians Shire Council
Bravington,3821,Baw Baw Shire Council
Braybrook,3019,Maribyrnong City Council
Breakaway Creek,3303,Glenelg Shire Council
Breakwater,3219,Greater Geelong City Council
Breamlea,3227,Greater Geelong City Council
Breamlea,3227,Surf Coast Shire Council
Brenanah,3517,Loddon Shire Council
Brewster,3352,Pyrenees Shire Council
Briagolong,3860,Wellington Shire Council
Briar Hill,3088,Banyule City Council
Bridge Creek,3723,Mansfield Shire Council
Bridgewater,3516,Loddon Shire Council
Bridgewater North,3516,Loddon Shire Council
Bridgewater On Loddon,3516,Loddon Shire Council
Bright,3741,Alpine Shire Council
Brighton,3186,Bayside City Council
Brighton East,3187,Bayside City Council
Brighton East,3187,Glen Eira City Council
Brim,3391,Yarriambiack Shire Council
Brimboal,3312,Glenelg Shire Council
Brimin,3685,Indigo Shire Council
Brimpaen,3401,Horsham Rural City Council
Bringalbert,3319,West Wimmera Shire Council
Brit Brit,3315,Southern Grampians Shire Council
Broadford,3658,Mitchell Shire Council
Broadlands,3875,East Gippsland Shire Council
Broadmeadows,3047,Hume City Council
Broadwater,3301,Moyne Shire Council
Brodribb River,3888,East Gippsland Shire Council
Broken Creek,3673,Benalla Rural City Council
Bromley,3472,Central Goldfields Shire Council
Brookfield,3338,Melton City Council
Brooklyn,3012,Brimbank City Council
Brooklyn,3012,Hobsons Bay City Council
Brookville,3896,East Gippsland Shire Council
Broomfield,3364,Hepburn Shire Council
Broughton,3418,Hindmarsh Shire Council
Brown Hill,3350,Ballarat City Council
Browns Plains,3685,Indigo Shire Council
Bruarong,3749,Indigo Shire Council
Brucknell,3268,Corangamite Shire Council
Brunswick,3056,Moreland City Council
Brunswick East,3057,Moreland City Council
Brunswick West,3055,Moreland City Council
Bruthen,3885,East Gippsland Shire Council
Buangor,3375,Ararat Rural City Council
Buangor,3375,Pyrenees Shire Council
Buchan,3885,East Gippsland Shire Council
Buchan South,3885,East Gippsland Shire Council
Buckland,3740,Alpine Shire Council
Buckley,3240,Surf Coast Shire Council
Buckley Swamp,3301,Southern Grampians Shire Council
Buckrabanyule,3525,Buloke Shire Council
Buckrabanyule,3525,Loddon Shire Council
Budgeree,3870,Latrobe City Council
Budgerum East,3579,Gannawarra Shire Council
Buffalo,3958,South Gippsland Shire Council
Buffalo River,3737,Alpine Shire Council
Bulart,3314,Southern Grampians Shire Council
Buldah,3890,East Gippsland Shire Council
Bulga,3586,Swan Hill Rural City Council
Bulgana,3377,Northern Grampians Shire Council
Bulla,3428,Hume City Council
Bullaharre,3266,Corangamite Shire Council
Bullarook,3352,Hepburn Shire Council
Bullarook,3352,Moorabool Shire Council
Bullarto,3461,Hepburn Shire Council
Bullarto South,3461,Hepburn Shire Council
Bullarto South,3461,Moorabool Shire Council
Bulleen,3105,Manningham City Council
Bullengarook,3437,Macedon Ranges Shire Council
Bullioh,3700,Towong Shire Council
Bullumwaal,3875,East Gippsland Shire Council
Buln Buln,3821,Baw Baw Shire Council
Buln Buln East,3821,Baw Baw Shire Council
Bumberrah,3902,East Gippsland Shire Council
Bunbartha,3634,Greater Shepparton City Council
Bundalaguah,3851,Wellington Shire Council
Bundalong,3730,Moira Shire Council
Bundalong South,3730,Moira Shire Council
Bunding,3342,Moorabool Shire Council
Bundoora,3083,Banyule City Council
Bundoora,3083,Darebin City Council
Bundoora,3083,Whittlesea City Council
Bung Bong,3465,Central Goldfields Shire Council
Bung Bong,3465,Pyrenees Shire Council
Bungador,3260,Colac Otway Shire Council
Bungal,3334,Moorabool Shire Council
Bungalally,3401,Horsham Rural City Council
Bungaree,3352,Moorabool Shire Council
Bungeet,3726,Benalla Rural City Council
Bungeet West,3726,Benalla Rural City Council
Bungil,3691,Towong Shire Council
Bunguluke,3527,Buloke Shire Council
Buninyong,3357,Ballarat City Council
Buninyong,3357,Moorabool Shire Council
Bunkers Hill,3352,Ballarat City Council
Bunyip,3815,Cardinia Shire Council
Bunyip North,3815,Cardinia Shire Council
Burkes Bridge,3568,Gannawarra Shire Council
Burkes Flat,3475,Loddon Shire Council
Burnbank,3371,Pyrenees Shire Council
Burnewang,3558,Campaspe Shire Council
Burnley,3121,Yarra City Council
Burnside,3023,Melton City Council
Burnside Heights,3023,Melton City Council
Burramboot,3559,Campaspe Shire Council
Burramine,3730,Moira Shire Council
Burramine South,3730,Moira Shire Council
Burrowye,3709,Towong Shire Council
Burrumbeet,3352,Ballarat City Council
Burrumbeet,3352,Pyrenees Shire Council
Burwood,3125,Monash City Council
Burwood,3125,Whitehorse City Council
Burwood East,3151,Whitehorse City Council
Bushfield,3281,Moyne Shire Council
Bushfield,3281,Warrnambool City Council
Bushy Park,3860,Wellington Shire Council
Butchers Ridge,3885,East Gippsland Shire Council
Buxton,3711,Murrindindi Shire Council
Byaduk,3301,Moyne Shire Council
Byaduk,3301,Southern Grampians Shire Council
Byaduk North,3300,Southern Grampians Shire Council
Byawatha,3678,Wangaratta Rural City Council
Bylands,3762,Macedon Ranges Shire Council
Bylands,3762,Mitchell Shire Council
Byrneside,3617,Greater Shepparton City Council
Cabarita,3505,Mildura Rural City Council
Cabbage Tree,3364,Hepburn Shire Council
Cabbage Tree Creek,3889,East Gippsland Shire Council
Cadello,3442,Macedon Ranges Shire Council
Cairnlea,3023,Brimbank City Council
Caldermeade,3984,Cardinia Shire Council
California Gully,3556,Greater Bendigo City Council
Calivil,3573,Loddon Shire Council
Callawadda,3387,Northern Grampians Shire Council
Callignee,3844,Latrobe City Council
Callignee North,3844,Wellington Shire Council
Callignee South,3844,Wellington Shire Council
Calrossie,3971,Wellington Shire Council
Calulu,3875,East Gippsland Shire Council
Camberwell,3124,Boroondara City Council
Cambrian Hill,3352,Golden Plains Shire Council
Campbellfield,3061,Hume City Council
Campbells Bridge,3387,Northern Grampians Shire Council
Campbells Creek,3451,Mount Alexander Shire Council
Campbells Forest,3556,Loddon Shire Council
Campbelltown,3364,Central Goldfields Shire Council
Campbelltown,3364,Hepburn Shire Council
Campbelltown,3364,Mount Alexander Shire Council
Camperdown,3260,Corangamite Shire Council
Canadian,3350,Ballarat City Council
Canary Island,3537,Loddon Shire Council
Caniambo,3630,Greater Shepparton City Council
Cann River,3890,East Gippsland Shire Council
Cannie,3540,Gannawarra Shire Council
Cannons Creek,3977,Casey City Council
Cannum,3393,Yarriambiack Shire Council
Canterbury,3126,Boroondara City Council
Cape Bridgewater,3305,Glenelg Shire Council
Cape Clear,3351,Golden Plains Shire Council
Cape Conran,3888,East Gippsland Shire Council
Cape Otway,3233,Colac Otway Shire Council
Cape Paterson,3995,Bass Coast Shire Council
Cape Schanck,3939,Mornington Peninsula Shire Council
Cape Woolamai,3925,Bass Coast Shire Council
Capel Sound,3940,Mornington Peninsula Shire Council
Capels Crossing,3579,Gannawarra Shire Council
Carag Carag,3623,Campaspe Shire Council
Caralulup,3371,Central Goldfields Shire Council
Caramut,3274,Moyne Shire Council
Caramut,3274,Southern Grampians Shire Council
Carapooee,3477,Northern Grampians Shire Council
Carapooee West,3477,Northern Grampians Shire Council
Carapook,3312,Glenelg Shire Council
Carapook,3312,Southern Grampians Shire Council
Carboor,3678,Wangaratta Rural City Council
Cardigan,3352,Ballarat City Council
Cardigan Village,3352,Ballarat City Council
Cardinia,3978,Cardinia Shire Council
Cardross,3496,Mildura Rural City Council
Cargerie,3334,Moorabool Shire Council
Carina,3512,Mildura Rural City Council
Caringal,3825,Baw Baw Shire Council
Carisbrook,3464,Central Goldfields Shire Council
Carisbrook,3464,Mount Alexander Shire Council
Carlisle River,3239,Colac Otway Shire Council
Carlsruhe,3442,Macedon Ranges Shire Council
Carlton,3053,Melbourne City Council
Carlton North,3054,Melbourne City Council
Carlton North,3054,Yarra City Council
Carlyle,3685,Indigo Shire Council
Carnegie,3163,Glen Eira City Council
Carngham,3351,Pyrenees Shire Council
Caroline Springs,3023,Melton City Council
Carpendeit,3260,Colac Otway Shire Council
Carpendeit,3260,Corangamite Shire Council
Carrajung,3844,Wellington Shire Council
Carrajung Lower,3844,Wellington Shire Council
Carrajung South,3844,Wellington Shire Council
Carranballac,3361,Ararat Rural City Council
Carranballac,3361,Pyrenees Shire Council
Carron,3480,Buloke Shire Council
Carrum,3197,Kingston City Council
Carrum Downs,3201,Frankston City Council
Carwarp,3494,Mildura Rural City Council
Cashmore,3305,Glenelg Shire Council
Cassilis,3898,East Gippsland Shire Council
Castella,3777,Murrindindi Shire Council
Casterton,3311,Glenelg Shire Council
Castle Creek,3691,Wodonga City Council
Castle Donnington,3585,Swan Hill Rural City Council
Castlemaine,3450,Mount Alexander Shire Council
Catani,3981,Cardinia Shire Council
Cathcart,3377,Ararat Rural City Council
Cathkin,3714,Murrindindi Shire Council
Catumnal,3537,Loddon Shire Council
Caulfield,3162,Glen Eira City Council
Caulfield East,3145,Glen Eira City Council
Caulfield North,3161,Glen Eira City Council
Caulfield South,3162,Glen Eira City Council
Caveat,3660,Murrindindi Shire Council
Cavendish,3314,Southern Grampians Shire Council
Ceres,3221,Greater Geelong City Council
Chadstone,3148,Monash City Council
Chandlers Creek,3890,East Gippsland Shire Council
Chapple Vale,3239,Colac Otway Shire Council
Chapple Vale,3239,Corangamite Shire Council
Charam,3318,West Wimmera Shire Council
Charlemont,3217,Greater Geelong City Council
Charleroi,3695,Indigo Shire Council
Charlton,3525,Buloke Shire Council
Chatsworth,3379,Ararat Rural City Council
Chatsworth,3379,Moyne Shire Council
Chelsea,3196,Kingston City Council
Chelsea Heights,3196,Kingston City Council
Cheltenham,3192,Bayside City Council
Cheltenham,3192,Kingston City Council
Chepstowe,3351,Pyrenees Shire Council
Cherokee,3434,Macedon Ranges Shire Council
Cherrypool,3401,Southern Grampians Shire Council
Cheshunt,3678,Wangaratta Rural City Council
Chesney Vale,3725,Benalla Rural City Council
Chetwynd,3312,West Wimmera Shire Council
Chewton,3451,Mount Alexander Shire Council
Chewton Bushlands,3451,Mount Alexander Shire Council
Childers,3824,Baw Baw Shire Council
Chillingollah,3585,Swan Hill Rural City Council
Chiltern,3683,Indigo Shire Council
Chiltern Valley,3683,Indigo Shire Council
Chinangin,3544,Swan Hill Rural City Council
Chinkapook,3546,Swan Hill Rural City Council
Chintin,3756,Macedon Ranges Shire Council
Chirnside Park,3116,Yarra Ranges Shire Council
Chirrip,3525,Buloke Shire Council
Chocolyn,3260,Corangamite Shire Council
Christmas Hills,3775,Nillumbik Shire Council
Chum Creek,3777,Yarra Ranges Shire Council
Churchill,3842,Latrobe City Council
Churchill Island,3925,Bass Coast Shire Council
Chute,3373,Pyrenees Shire Council
Clarendon,3352,Moorabool Shire Council
Claretown,3352,Moorabool Shire Council
Clarinda,3169,Kingston City Council
Clarkefield,3430,Hume City Council
Clarkefield,3430,Macedon Ranges Shire Council
Clarkes Hill,3352,Moorabool Shire Council
Clayton,3168,Monash City Council
Clayton South,3169,Kingston City Council
Clear Lake,3409,Horsham Rural City Council
Clematis,3782,Cardinia Shire Council
Clematis,3782,Yarra Ranges Shire Council
Clifton Creek,3875,East Gippsland Shire Council
Clifton Hill,3068,Yarra City Council
Clifton Springs,3222,Greater Geelong City Council
Clonbinane,3658,Mitchell Shire Council
Clover Flat,3315,Southern Grampians Shire Council
Cloverlea,3822,Baw Baw Shire Council
Club Terrace,3889,East Gippsland Shire Council
Clunes,3370,Hepburn Shire Council
Clyde,3978,Casey City Council
Clyde North,3978,Casey City Council
Clydebank,3851,Wellington Shire Council
Clydesdale,3461,Hepburn Shire Council
Coalville,3825,Baw Baw Shire Council
Cobains,3851,Wellington Shire Council
Cobaw,3442,Macedon Ranges Shire Council
Cobbannah,3862,East Gippsland Shire Council
Cobblebank,3338,Melton City Council
Cobden,3266,Corangamite Shire Council
Cobram,3644,Moira Shire Council
Cobram East,3644,Moira Shire Council
Cobrico,3266,Corangamite Shire Council
Cobungra,3898,East Gippsland Shire Council
Coburg,3058,Darebin City Council
Coburg,3058,Moreland City Council
Coburg North,3058,Darebin City Council
Coburg North,3058,Moreland City Council
Cocamba,3546,Swan Hill Rural City Council
Cochranes Creek,3475,Loddon Shire Council
Cockatoo,3781,Cardinia Shire Council
Codrington,3285,Moyne Shire Council
Coghills Creek,3364,Ballarat City Council
Cohuna,3568,Gannawarra Shire Council
Coimadai,3340,Moorabool Shire Council
Cokum,3542,Buloke Shire Council
Colac,3250,Colac Otway Shire Council
Colac Colac,3707,Towong Shire Council
Colac East,3250,Colac Otway Shire Council
Colac West,3250,Colac Otway Shire Council
Colbinabbin,3559,Campaspe Shire Council
Colbrook,3342,Moorabool Shire Council
Coldstream,3770,Yarra Ranges Shire Council
Coleraine,3315,Southern Grampians Shire Council
Colignan,3494,Mildura Rural City Council
Collingwood,3066,Yarra City Council
Combienbar,3889,East Gippsland Shire Council
Concongella,3384,Northern Grampians Shire Council
Condah,3303,Glenelg Shire Council
Condah Swamp,3286,Moyne Shire Council
Congupna,3633,Greater Shepparton City Council
Connewarre,3227,Greater Geelong City Council
Connewarre,3227,Surf Coast Shire Council
Connewirricoo,3318,West Wimmera Shire Council
Coojar,3315,Southern Grampians Shire Council
Coolaroo,3048,Hume City Council
Cooma,3616,Greater Shepparton City Council
Coomboona,3629,Greater Shepparton City Council
Coomoora,3461,Hepburn Shire Council
Coongulla,3860,Wellington Shire Council
Coonooer Bridge,3477,Buloke Shire Council
Coonooer Bridge,3477,Northern Grampians Shire Council
Coonooer West,3477,Northern Grampians Shire Council
Cooriemungle,3268,Corangamite Shire Council
Cope Cope,3480,Buloke Shire Council
Cope Cope,3480,Northern Grampians Shire Council
Cora Lynn,3814,Cardinia Shire Council
Corack,3480,Buloke Shire Council
Corack East,3480,Buloke Shire Council
Coragulac,3249,Colac Otway Shire Council
Coral Bank,3691,Alpine Shire Council
Corindhap,3352,Golden Plains Shire Council
