Suburbs,PostCode,Soil Type,Dominant Soils,Soil PH,Crops
Jeeralang Junction,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Jeetho,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Jindivick,3818,Ripplebrook,Redoxic Hydrosols,5,Oats'
Jumbuk,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Jumbunna,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Kardella,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Kernot,3979,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Kilcunda,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Kongwak,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Koonwarra,3954,Koonwarra,Yellow and Grey Sodosols,5.7,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Koornalla,3844,sand dune,Rudosols,4.5,Oats'
Korumburra,3950,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Krowera,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Labertouche,3816,Narre,Yellow and Grey Sodosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Lardner,3821,riverine,Hydrosols,4.5,Oats'
Leongatha,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Lillico,3820,Warragul,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Loch,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Longwarry,3816,Narre,Yellow and Grey Sodosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Mardan,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
McMahons Creek,3799,Warragul ,Acidic Red Ferrosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Meeniyan,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Mirboo,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Mirboo North,3871,Silver Creek with Warragul, Brown and Yellow Kandosols or Dermosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Modella,3816,Narre,Yellow and Grey Sodosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Moe,3825,Moe ,heavy clay loams,7,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini','Radish'"
Morwell,3840,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Narracan,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Nayook,3832,Warragul with Nerrim South,Acidic Red Ferrosols ,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Neerim,3831,Warragul with Nerrim South,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Neerim South,3831,Warragul with Nerrim South,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Newborough,3825,Narre,Yellow and Grey Sodosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Newhaven,3925,Yinnar,Brown Dermosols and Vertosols,6,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Nilma,3821,riverine,Hydrosols,4.5,Oats'
Nilma North,3821,riverine,Hydrosols,4.5,Oats'
Noojee,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
North Wonthaggi,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Nyora,3987,Athlone,Acidic Yellow Dermosols,5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Outtrim,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Piedmont,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Pioneer Bay,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Poowong,3988,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Port Franklin,3964,Agnes,Yellow Kandosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Port Welshpool,3965,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Ranceby,3951,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Rawson,3825,riverine,Hydrosols,4.5,Oats'
Rhyll,3923,Red Hill,Red Chromosol,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Rokeby,3821,riverine,Hydrosols,4.5,Oats'
Ruby,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
San Remo,3925,Koonwarra,Brown Kurosols ,5.7,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Sandy Point,3959,sand dune,Aeric Podosols,4.5,Oats'
Shady Creek,3821,riverine,Hydrosols,4.5,Oats'
Silverleaves,3922,riverine,Hydrosols,4.5,Oats'
South Dudley,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Stony Creek,3371,Koonwarra,Brown Kurosols ,5.7,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Stony Creek,3957,Koonwarra,Brown Kurosols ,5.7,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Strzelecki,3950,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Sunderland Bay,3922,Phillip Island,Red Chromosol ,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Sunset Strip,3922,Phillip Island,Red Chromosol ,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Surf Beach,3922,Phillip Island,Red Chromosol ,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Tanjil Bren,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Tanjil South,3825,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Tarwin,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Tarwin Lower,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Tenby Point,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
The Gurdies,3984,Monomeith with sandy rises,"Grey, Yellow and Brown Sodosols",4.5,Oats'
Thorpdale,3835,Warragul,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Toongabbie,3856,Toongabbie,Yellow and Brown Sodosols,5.2,Oats'
Toora,3962,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Torwood,3821,riverine,Hydrosols,4.5,Oats'
Trafalgar,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Trafalgar East,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Trafalgar South,3824,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Traralgon,3844,sand dune,Rudosols,4.5,Oats'
Traralgon South,3844,sand dune,Rudosols,4.5,Oats'
Trida,3953,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Turtons Creek,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Tyers,3844,sand dune,Rudosols,4.5,Oats'
Ventnor,3922,Yinnar,Brown and Grey Chromosols ,6,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Venus Bay,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Vesper,3833,Jindivick,Dark brownish grey or grey sandy loams,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Walhalla,3825,Yinnar,Brown and Grey Chromosols,6,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Walkerville,3956,Inverloch,Parapanic Podosols with Grey Kurosols,5.3,Oats'
Waratah Bay,3959,sand dune,Aeric Podosols,4.5,Oats'
Warragul,3820,Warragul,Acidic Red Ferrosols,6.1,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Wattle Bank,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Welshpool,3966,Agnes,Yellow Kandosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
West Creek,3992,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Westbury,3825,riverine,Hydrosols,4.5,Oats'
Willow Grove,3825,Darnum,Brown podzolic,5.8,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Wimbledon Heights,3922,sand dune,Aeric Podosols,4.5,Oats'
Wonga,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Wonthaggi,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Woodleigh,3945,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Woolamai,3995,Leongatha Sth,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5,Oats'
Yallourn,3825,Inverloch,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.3,Oats'
Yallourn North,3825,Inverloch,"Humose-Acidic, Dermosolic, Redoxic HYDROSOL",5.3,Oats'
Yanakie,3960,Strzelecki,"Acidic Grey, Yellow and Brown Dermosols",5.9,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Yarragon,3823,Yarragon,Brown Dermosols and Hydrosols,6.2,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini', Carrot"
Yinnar,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
Yinnar South,3869,Boolarra with Morwell,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols,5.5,"Celery', 'Corn', 'Cucumber', 'Eggplant', 'Potato', 'Tomato', 'Zucchini'"
